2025-05-20 18:02:50.060 | WARNING  | nodes.vlm_node:__init__:18 - Starting VLM
2025-05-20 18:02:50.061 | INFO     | nodes.vlm_wrapper:__init__:36 - Attempting to load VLM
2025-05-20 18:02:50.379 | INFO     | nodes.vlm_wrapper:__init__:44 - Tokenizer successfully loaded
2025-05-20 18:02:51.059 | INFO     | nodes.vlm_wrapper:__init__:49 - Processor successfully loaded
2025-05-20 18:02:57.373 | INFO     | nodes.vlm_wrapper:__init__:59 - Model successfully loaded in 7.31s
2025-05-20 18:02:57.373 | WARNING  | nodes.vlm_node:__init__:21 - VLM Node is ready
2025-05-20 18:02:57.373 | WARNING  | __main__:__init__:29 - Building graph
2025-05-20 18:02:57.699 | WARNING  | __main__:__init__:50 - Graph has been built
2025-05-20 18:02:57.699 | WARNING  | __main__:<module>:144 - ---STARTING GAME---
2025-05-20 18:02:57.918 | INFO     | __main__:<module>:148 - STARTING GAME: Wait 40 seconds
2025-05-20 18:03:37.920 | WARNING  | __main__:<module>:152 - ---STARTING LLAMA.CPP---
2025-05-20 18:03:38.431 | INFO     | __main__:<module>:161 - STARTING LLAMA.CPP: Wait 40 seconds
2025-05-20 18:04:18.440 | DEBUG    | nodes.get_player_strengths:__call__:44 - ---CHARACTER STRENGTHS: GETTING PLAYER CHARACTERS STRENGTHS---
2025-05-20 18:04:21.601 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:21.684 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:27.280 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 5.68s
2025-05-20 18:04:27.282 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:27.300 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:29.700 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.42s
2025-05-20 18:04:29.701 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:29.716 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:30.629 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 0.93s
2025-05-20 18:04:32.424 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:32.441 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:34.710 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.29s
2025-05-20 18:04:34.712 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:34.727 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:37.101 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.39s
2025-05-20 18:04:37.102 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:37.118 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:38.134 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 1.03s
2025-05-20 18:04:39.923 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:39.940 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:42.050 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.13s
2025-05-20 18:04:42.051 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:42.067 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:44.433 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.38s
2025-05-20 18:04:44.435 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:44.449 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:45.367 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 0.93s
2025-05-20 18:04:47.157 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:47.172 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:49.467 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.31s
2025-05-20 18:04:49.468 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:49.484 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:51.844 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.38s
2025-05-20 18:04:51.845 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:51.859 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:04:52.880 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 1.04s
2025-05-20 18:04:56.793 | DEBUG    | __main__:_wait_for_agent_turn:99 - ---WAIT FOR AGENT TURN---
2025-05-20 18:04:57.496 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:04:57.639 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:01.177 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.68s
2025-05-20 18:05:04.377 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:04.519 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:07.843 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.47s
2025-05-20 18:05:11.037 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:11.182 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:14.466 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.43s
2025-05-20 18:05:14.467 | DEBUG    | nodes.vlm_node:__call__:24 - ---UPDATING COMBAT STATS---
2025-05-20 18:05:14.468 | DEBUG    | nodes.vlm_node:_estimate_number_of_enemies:99 - STAT_UPDATER: Counting enemies
2025-05-20 18:05:14.575 | INFO     | nodes.vlm_node:_estimate_number_of_enemies:137 - STAT UPDATER: Enemies number: 3
2025-05-20 18:05:14.576 | DEBUG    | nodes.vlm_node:_get_enemy_strength:146 - STAT_UPDATER: Getting enemies' strengths and weaknesses
2025-05-20 18:05:16.056 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:16.073 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:22.396 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 6.34s
2025-05-20 18:05:22.398 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:22.417 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:26.208 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.81s
2025-05-20 18:05:26.209 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:26.225 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:30.543 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.33s
2025-05-20 18:05:30.545 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:30.560 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:34.392 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.85s
2025-05-20 18:05:34.394 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:34.410 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:36.558 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.17s
2025-05-20 18:05:36.560 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:36.576 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:38.646 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.09s
2025-05-20 18:05:38.647 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:38.664 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:40.976 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.33s
2025-05-20 18:05:40.978 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:40.993 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:43.336 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.36s
2025-05-20 18:05:43.338 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:43.429 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:46.469 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.13s
2025-05-20 18:05:47.420 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:47.436 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:54.892 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 7.47s
2025-05-20 18:05:54.894 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:54.907 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:05:58.692 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.80s
2025-05-20 18:05:58.693 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:05:58.707 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:03.259 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.57s
2025-05-20 18:06:03.260 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:03.276 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:07.140 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.88s
2025-05-20 18:06:07.142 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:07.158 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:09.628 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.49s
2025-05-20 18:06:09.630 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:09.644 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:11.766 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.14s
2025-05-20 18:06:11.768 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:11.785 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:14.082 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.31s
2025-05-20 18:06:14.083 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:14.098 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:16.445 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.36s
2025-05-20 18:06:16.447 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:16.541 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:19.482 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.04s
2025-05-20 18:06:20.434 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:20.453 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:26.058 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 5.62s
2025-05-20 18:06:26.060 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:26.074 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:30.644 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.58s
2025-05-20 18:06:30.646 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:30.660 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:35.677 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 5.03s
2025-05-20 18:06:35.678 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:35.692 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:39.558 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.88s
2025-05-20 18:06:39.560 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:39.576 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:42.048 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.49s
2025-05-20 18:06:42.050 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:42.064 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:44.183 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.13s
2025-05-20 18:06:44.184 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:44.200 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:46.491 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.31s
2025-05-20 18:06:46.493 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:46.508 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:48.876 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.38s
2025-05-20 18:06:48.877 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:48.970 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:06:52.150 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.27s
2025-05-20 18:06:56.211 | DEBUG    | nodes.vlm_node:_get_enemy_strength:189 - Enemies profiled: profiled_enemies_indices=[2, 1, 4]
2025-05-20 18:06:56.211 | DEBUG    | nodes.vlm_node:_update_active_characters_strengths:411 - STAT_UPDATER: Updating awareness on active characters
2025-05-20 18:06:56.212 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:06:56.228 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:01.457 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 5.24s
2025-05-20 18:07:01.459 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:01.474 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:02.469 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 1.01s
2025-05-20 18:07:02.470 | INFO     | nodes.vlm_node:_update_active_characters_strengths:450 - STAT_UPDATER: Active character ID: 0
2025-05-20 18:07:02.472 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:02.489 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:07.807 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 5.34s
2025-05-20 18:07:07.808 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:07.824 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:08.806 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 1.00s
2025-05-20 18:07:08.807 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:08.824 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:13.662 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.85s
2025-05-20 18:07:13.663 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:13.677 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:14.675 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 1.01s
2025-05-20 18:07:14.677 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:14.692 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:19.625 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.95s
2025-05-20 18:07:19.626 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:07:19.641 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:07:20.666 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 1.04s
2025-05-20 18:07:20.666 | DEBUG    | nodes.vlm_node:_update_active_characters_strengths:462 - Character stats updated
2025-05-20 18:07:20.668 | WARNING  | nodes.llm_node:__call__:38 - Starting LLM Node
2025-05-20 18:07:46.024 | WARNING  | nodes.llm_node:__call__:45 - LLM Node is ready
2025-05-20 18:07:46.025 | DEBUG    | nodes.llm_node:__call__:50 - ---REASONER IS PLANNING---
2025-05-20 18:07:46.025 | INFO     | nodes.llm_node:__call__:53 - Turn context:
# CHARACTERS STATS
Character 0 has HP 11549 out of 11549, EP 620 out of 620, CP 200 out of 200. Its attack 1141, defense 736, arts strength 701, arts defense 556, initiative 94. 
Character 1 has HP 10138 out of 10138, EP 580 out of 580, CP 200 out of 200. Its attack 1024, defense 684, arts strength 673, arts defense 514, initiative 103. 
Character 2 has HP 8374 out of 8374, EP 900 out of 900, CP 200 out of 200. Its attack 910, defense 588, arts strength 761, arts defense 477, initiative 84. 
Character 3 has HP 12590 out of 12590, EP 590 out of 590, CP 200 out of 200. Its attack 1099, defense 674, arts strength 762, arts defense 527, initiative 105. 

You can give orders to Character 0.

# ENEMIES STATS
Enemy 2 has HP 9836 out of 9836, stun level 0%. Its attack 79, defense 292, arts strength 654, arts defense 246, initiative 123. It is weak to elements: time 120% of arts damage, space 120% of arts damage, mirage 120% of arts damage. It is resistant to elements: mirage 120% of arts damage, mirage 120% of arts damage, mirage 120% of arts damage, mirage 120% of arts damage. It is susceptible to get stat down, burn, seal, rot, fear, delay, freeze, mute, blind, deathblow. This enemy is within reach of basic attack, crafts, and attack arts.
Enemy 1 has HP 34681 out of 34681, stun level 0%. Its attack 782, defense 409, arts strength 793, arts defense 344, initiative 148. It is weak to elements: time 120% of arts damage, space 120% of arts damage, mirage 120% of arts damage. It is resistant to elements: mirage 120% of arts damage, mirage 120% of arts damage, mirage 120% of arts damage, mirage 120% of arts damage. It is susceptible to get stat down, fear, delay, mute, blind. This enemy is out of reach for basic attack, but can be attacked by crafts, and attack arts.
Enemy 4 has HP 9836 out of 9836, stun level 0%. Its attack 79, defense 292, arts strength 654, arts defense 246, initiative 123. It is weak to elements: time 120% of arts damage, space 120% of arts damage, mirage 120% of arts damage. It is resistant to elements: mirage 120% of arts damage, mirage 120% of arts damage, mirage 120% of arts damage, mirage 120% of arts damage. It is susceptible to get stat down, burn, seal, rot, fear, delay, freeze, mute, blind, deathblow. This enemy is out of reach for basic attack, but can be attacked by crafts, and attack arts.
2025-05-20 18:08:08.665 | INFO     | nodes.llm_node:__call__:61 - Reasoner decision:
content='\n\n' additional_kwargs={'tool_calls': [ChatCompletionMessageToolCall(function=Function(arguments='{"enemy_id":1}', name='action_use_art'), id='i3GgLYd5npttkHjcdTXT4voiL2fmH8SQ', type='function')]} response_metadata={'token_usage': Usage(completion_tokens=26, prompt_tokens=1548, total_tokens=1574, completion_tokens_details=None, prompt_tokens_details=None), 'model': 'openai/qwen3-30b-a3b', 'finish_reason': 'tool_calls', 'model_name': 'openai/qwen3-30b-a3b'} id='run--6ef9866d-eb9d-4b3f-b37c-42a04ed722b1-0' tool_calls=[{'name': 'action_use_art', 'args': {'enemy_id': 1}, 'id': 'i3GgLYd5npttkHjcdTXT4voiL2fmH8SQ', 'type': 'tool_call'}] usage_metadata={'input_tokens': 1548, 'output_tokens': 26, 'total_tokens': 1574}
2025-05-20 18:08:08.673 | DEBUG    | tools.controller:select_target_enemy:89 - TOOL: Attemp to select requested target
2025-05-20 18:08:09.329 | DEBUG    | tools.controller:select_target_enemy:98 - TOOL: Current target_id=1
2025-05-20 18:08:09.329 | DEBUG    | tools.controller:select_target_enemy:102 - TOOL: Found requested target! target_id=1 == enemy_id=1
2025-05-20 18:08:09.330 | DEBUG    | tools.controller:action_use_art:176 - TOOL: Using art
2025-05-20 18:08:10.937 | DEBUG    | __main__:_forget_turn_reasoning:121 - ---FORGET TURN REASONING---
2025-05-20 18:08:10.938 | DEBUG    | __main__:_is_combat_over:59 - ---CHECK IF COMBAT IS OVER---
2025-05-20 18:08:10.940 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:11.081 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:14.405 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.47s
2025-05-20 18:08:14.406 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:14.538 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:17.770 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.36s
2025-05-20 18:08:17.770 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:17.903 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:21.295 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.53s
2025-05-20 18:08:21.296 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:21.429 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:24.729 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.43s
2025-05-20 18:08:24.731 | DEBUG    | __main__:_wait_for_agent_turn:99 - ---WAIT FOR AGENT TURN---
2025-05-20 18:08:25.379 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:25.523 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:28.776 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.40s
2025-05-20 18:08:28.777 | DEBUG    | nodes.vlm_node:__call__:24 - ---UPDATING COMBAT STATS---
2025-05-20 18:08:28.778 | DEBUG    | nodes.vlm_node:_estimate_number_of_enemies:99 - STAT_UPDATER: Counting enemies
2025-05-20 18:08:28.884 | INFO     | nodes.vlm_node:_estimate_number_of_enemies:137 - STAT UPDATER: Enemies number: 3
2025-05-20 18:08:28.884 | DEBUG    | nodes.vlm_node:_get_enemy_strength:146 - STAT_UPDATER: Getting enemies' strengths and weaknesses
2025-05-20 18:08:29.547 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:29.565 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:34.444 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.90s
2025-05-20 18:08:34.445 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:34.461 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:38.376 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 3.93s
2025-05-20 18:08:38.378 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:38.393 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:43.373 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 5.00s
2025-05-20 18:08:43.375 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:43.391 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:47.939 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 4.56s
2025-05-20 18:08:47.941 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:47.958 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:50.458 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.52s
2025-05-20 18:08:50.460 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:50.474 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:52.569 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.11s
2025-05-20 18:08:52.570 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:52.588 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:54.899 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.33s
2025-05-20 18:08:54.901 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
2025-05-20 18:08:54.919 | INFO     | nodes.vlm_wrapper:__call__:105 - Generating
2025-05-20 18:08:57.265 | INFO     | nodes.vlm_wrapper:__call__:119 - Success in 2.36s
2025-05-20 18:08:57.267 | INFO     | nodes.vlm_wrapper:__call__:74 - Prepare inputs
